provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
gemini,gemini-2.5-flash-lite,off,0,220,280,500,44.0,123075,57025,0,0.035117
gemini,gemini-2.5-flash-lite,off,0.1,390,110,500,78.0,123075,64130,0,0.03796
gemini,gemini-2.5-flash-lite,off,0.2,380,120,500,76.0,123075,63730,0,0.037799
gemini,gemini-2.5-flash-lite,off,0.3,395,105,500,79.0,123075,61640,0,0.036963
gemini,gemini-2.5-flash-lite,off,0.4,360,140,500,72.0,123075,62815,0,0.037434
gemini,gemini-2.5-flash-lite,off,0.5,400,100,500,80.0,123075,64470,0,0.038096
gemini,gemini-2.5-flash-lite,off,0.6,410,90,500,82.0,123075,62460,0,0.037292
gemini,gemini-2.5-flash-lite,off,0.7,400,100,500,80.0,123075,62175,0,0.037178
gemini,gemini-2.5-flash-lite,off,0.8,380,120,500,76.0,123075,63645,0,0.037765
gemini,gemini-2.5-flash-lite,off,0.9,430,70,500,86.0,123075,62920,0,0.037475
gemini,gemini-2.5-flash-lite,off,1.0,260,240,500,52.0,123075,63710,0,0.037791
gemini,gemini-2.5-flash-lite,off,1.1,265,235,500,53.0,123075,62425,0,0.037278
gemini,gemini-2.5-flash-lite,off,1.2,225,275,500,45.0,123075,61010,0,0.036711
gemini,gemini-2.5-flash-lite,off,1.3,235,265,500,47.0,123075,60655,0,0.03657
gemini,gemini-2.5-flash-lite,off,1.4,235,265,500,47.0,123075,63245,0,0.037606
gemini,gemini-2.5-flash-lite,off,1.5,240,260,500,48.0,123075,62785,0,0.037422
gemini,gemini-2.5-flash-lite,off,1.6,190,310,500,38.0,123075,63415,0,0.037674
gemini,gemini-2.5-flash-lite,off,1.7,245,255,500,49.0,123075,63855,0,0.037849
gemini,gemini-2.5-flash-lite,off,1.8,235,265,500,47.0,123075,62465,0,0.037294
gemini,gemini-2.5-flash-lite,off,1.9,185,315,500,37.0,123075,60645,0,0.036565
gemini,gemini-2.5-flash-lite,off,2.0,180,320,500,36.0,123075,63745,0,0.037806
gemini,gemini-2.5-flash-lite,off,2.1,195,305,500,39.0,123075,60945,0,0.036685
gemini,gemini-2.5-flash-lite,off,2.2,175,325,500,35.0,123075,61585,0,0.036942
gemini,gemini-2.5-flash-lite,off,2.3,170,330,500,34.0,123075,63175,0,0.037578
gemini,gemini-2.5-flash-lite,off,2.4,175,325,500,35.0,123075,61760,0,0.037011
gemini,gemini-2.5-flash-lite,off,2.5,190,310,500,38.0,123075,63010,0,0.037512
gemini,gemini-2.5-flash-lite,off,2.6,190,310,500,38.0,123075,64835,0,0.038242
gemini,gemini-2.5-flash-lite,off,2.7,175,325,500,35.0,123075,64770,0,0.038216
gemini,gemini-2.5-flash-lite,off,2.8,195,305,500,39.0,123075,63420,0,0.037675
gemini,gemini-2.5-flash-lite,off,2.9,200,300,500,40.0,123075,63915,0,0.037873
gemini,gemini-2.5-flash-lite,off,3.0,175,325,500,35.0,123075,62430,0,0.037279
gemini,gemini-2.5-flash-lite,off,3.1,170,330,500,34.0,123075,60930,0,0.036679
gemini,gemini-2.5-flash-lite,off,3.2,195,305,500,39.0,123075,63050,0,0.037528
gemini,gemini-2.5-flash-lite,off,3.3,180,320,500,36.0,123075,63230,0,0.037599
gemini,gemini-2.5-flash-lite,off,3.4,200,300,500,40.0,123075,62225,0,0.037197
gemini,gemini-2.5-flash-lite,off,3.5,205,295,500,41.0,123075,65320,0,0.038435
gemini,gemini-2.5-flash-lite,off,4.0,200,300,500,40.0,123075,64755,0,0.03821
gemini,gemini-2.5-flash-lite,off,5.0,225,275,500,45.0,123075,64690,0,0.038184
gemini,gemini-2.5-flash-lite,off,6.0,180,320,500,36.0,123075,64795,0,0.038225
gemini,gemini-2.5-flash-lite,off,7.0,230,270,500,46.0,123075,61525,0,0.036917
