provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
gemini,gemini-3-flash-preview,medium,0.0,22,478,500,4.4,123075,31920,436709,1.467425
gemini,gemini-3-flash-preview,medium,0.1,91,409,500,18.2,123075,38794,475062,1.603105
gemini,gemini-3-flash-preview,medium,0.2,96,404,500,19.2,123075,38925,509847,1.707854
gemini,gemini-3-flash-preview,medium,0.3,105,395,500,21.0,123075,37909,497097,1.666556
gemini,gemini-3-flash-preview,medium,0.4,113,387,500,22.6,123075,38324,502006,1.682528
gemini,gemini-3-flash-preview,medium,0.5,119,381,500,23.8,123075,38775,524483,1.751311
gemini,gemini-3-flash-preview,medium,0.6,123,377,500,24.6,123075,38055,492530,1.653293
gemini,gemini-3-flash-preview,medium,0.7,119,381,500,23.8,123075,38604,499413,1.675588
gemini,gemini-3-flash-preview,medium,0.8,124,376,500,24.8,123075,38138,512320,1.712911
gemini,gemini-3-flash-preview,medium,0.9,122,378,500,24.4,123075,38134,541534,1.800541
gemini,gemini-3-flash-preview,medium,1.0,126,374,500,25.2,123075,37653,517472,1.726913
gemini,gemini-3-flash-preview,medium,1.1,136,364,500,27.2,123075,38430,539184,1.79438
gemini,gemini-3-flash-preview,medium,1.2,128,372,500,25.6,123075,38079,551423,1.830043
gemini,gemini-3-flash-preview,medium,1.3,138,362,500,27.6,123075,38354,537109,1.787927
gemini,gemini-3-flash-preview,medium,1.4,135,365,500,27.0,123075,38743,534463,1.781155
gemini,gemini-3-flash-preview,medium,1.5,133,367,500,26.6,123075,38716,527043,1.758814
gemini,gemini-3-flash-preview,medium,1.6,132,368,500,26.4,123075,38503,521444,1.741378
gemini,gemini-3-flash-preview,medium,1.7,153,347,500,30.6,123075,38076,542614,1.803608
gemini,gemini-3-flash-preview,medium,1.8,133,367,500,26.6,123075,37768,543330,1.804831
gemini,gemini-3-flash-preview,medium,1.9,148,352,500,29.6,123075,38629,524894,1.752106
gemini,gemini-3-flash-preview,medium,2.0,141,359,500,28.2,123075,38276,528900,1.763066
gemini,gemini-3-flash-preview,medium,2.1,150,350,500,30.0,123075,38723,541383,1.801856
gemini,gemini-3-flash-preview,medium,2.2,147,353,500,29.4,123075,38351,521809,1.742017
gemini,gemini-3-flash-preview,medium,2.3,145,355,500,29.0,123075,37596,544654,1.808287
gemini,gemini-3-flash-preview,medium,2.4,146,354,500,29.2,123075,38068,553195,1.835326
gemini,gemini-3-flash-preview,medium,2.5,151,349,500,30.2,123075,38280,540213,1.797017
gemini,gemini-3-flash-preview,medium,2.6,150,350,500,30.0,123075,37795,557236,1.846631
gemini,gemini-3-flash-preview,medium,2.7,149,351,500,29.8,123075,37873,537641,1.78808
gemini,gemini-3-flash-preview,medium,2.8,161,339,500,32.2,123075,37719,536500,1.784195
gemini,gemini-3-flash-preview,medium,2.9,145,355,500,29.0,123075,37651,532759,1.772768
gemini,gemini-3-flash-preview,medium,3.0,152,348,500,30.4,123075,37661,519992,1.734497
gemini,gemini-3-flash-preview,medium,3.1,148,352,500,29.6,123075,37952,554890,1.840063
gemini,gemini-3-flash-preview,medium,3.2,152,348,500,30.4,123075,36951,577949,1.906237
gemini,gemini-3-flash-preview,medium,3.3,153,347,500,30.6,123075,37501,539725,1.793216
gemini,gemini-3-flash-preview,medium,3.4,160,340,500,32.0,123075,37984,571705,1.890605
gemini,gemini-3-flash-preview,medium,3.5,150,350,500,30.0,123075,38215,536562,1.785869
gemini,gemini-3-flash-preview,medium,4.0,164,336,500,32.8,123075,37659,548042,1.81864
gemini,gemini-3-flash-preview,medium,5.0,174,326,500,34.8,123075,37450,543131,1.80328
gemini,gemini-3-flash-preview,medium,6.0,175,325,500,35.0,123075,37481,536189,1.782548
gemini,gemini-3-flash-preview,medium,7.0,183,317,500,36.6,123075,37242,548872,1.81988
