provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,gpt-4o,off,0,0,500,500,0.0,121530,22268,0,0.526505
openai,gpt-4o,off,0.1,5,495,500,1.0,121530,34905,0,0.652875
openai,gpt-4o,off,0.2,0,500,500,0.0,121530,35477,0,0.658595
openai,gpt-4o,off,0.3,0,500,500,0.0,121530,35795,0,0.661775
openai,gpt-4o,off,0.4,0,500,500,0.0,121530,35191,0,0.655735
openai,gpt-4o,off,0.5,1,499,500,0.2,121530,35476,0,0.658585
openai,gpt-4o,off,0.6,3,497,500,0.6,121530,35763,0,0.661455
openai,gpt-4o,off,0.7,1,499,500,0.2,121530,35357,0,0.657395
openai,gpt-4o,off,0.8,4,496,500,0.8,121530,35722,0,0.661045
openai,gpt-4o,off,0.9,4,496,500,0.8,121530,35331,0,0.657135
openai,gpt-4o,off,1.0,11,489,500,2.2,121530,35465,0,0.658475
openai,gpt-4o,off,1.1,6,494,500,1.2,121530,34289,0,0.646715
openai,gpt-4o,off,1.2,0,500,500,0.0,121530,34400,0,0.647825
openai,gpt-4o,off,1.3,6,494,500,1.2,121530,35496,0,0.658785
openai,gpt-4o,off,1.4,9,491,500,1.8,121530,35295,0,0.656775
openai,gpt-4o,off,1.5,8,492,500,1.6,121530,34245,0,0.646275
openai,gpt-4o,off,1.6,7,493,500,1.4,121530,34545,0,0.649275
openai,gpt-4o,off,1.7,13,487,500,2.6,121530,34080,0,0.644625
openai,gpt-4o,off,1.8,12,488,500,2.4,121530,33906,0,0.642885
openai,gpt-4o,off,1.9,12,488,500,2.4,121530,34167,0,0.645495
openai,gpt-4o,off,2.0,15,485,500,3.0,121530,33805,0,0.641875
openai,gpt-4o,off,2.1,21,479,500,4.2,121530,32706,0,0.630885
openai,gpt-4o,off,2.2,4,496,500,0.8,121530,33520,0,0.639025
openai,gpt-4o,off,2.3,12,488,500,2.4,121530,33257,0,0.636395
openai,gpt-4o,off,2.4,19,481,500,3.8,121530,32530,0,0.629125
openai,gpt-4o,off,2.5,21,479,500,4.2,121530,31923,0,0.623055
openai,gpt-4o,off,2.6,23,477,500,4.6,121530,32481,0,0.628635
openai,gpt-4o,off,2.7,19,481,500,3.8,121530,33080,0,0.634625
openai,gpt-4o,off,2.8,19,481,500,3.8,121530,32520,0,0.629025
openai,gpt-4o,off,2.9,10,490,500,2.0,121530,32361,0,0.627435
openai,gpt-4o,off,3.0,28,472,500,5.6,121530,31783,0,0.621655
openai,gpt-4o,off,3.1,30,470,500,6.0,121530,31550,0,0.619325
openai,gpt-4o,off,3.2,35,465,500,7.0,121530,32890,0,0.632725
openai,gpt-4o,off,3.3,33,467,500,6.6,121530,32153,0,0.625355
openai,gpt-4o,off,3.4,25,475,500,5.0,121530,31548,0,0.619305
openai,gpt-4o,off,3.5,34,466,500,6.8,121530,32257,0,0.626395
openai,gpt-4o,off,4.0,44,456,500,8.8,121530,31386,0,0.617685
openai,gpt-4o,off,5.0,110,390,500,22.0,121530,33162,0,0.635445
openai,gpt-4o,off,6.0,106,394,500,21.2,121530,31669,0,0.620515
openai,gpt-4o,off,7.0,123,377,500,24.6,121530,32030,0,0.624125
