provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
anthropic,claude-haiku-4-5,off,0.0,0,500,500,0.0,134035,71111,0,0.48959
anthropic,claude-haiku-4-5,off,0.1,15,485,500,3.0,134035,70468,0,0.486375
anthropic,claude-haiku-4-5,off,0.2,19,481,500,3.8,134035,72805,0,0.49806
anthropic,claude-haiku-4-5,off,0.3,14,486,500,2.8,134035,74384,0,0.505955
anthropic,claude-haiku-4-5,off,0.4,14,486,500,2.8,134035,74840,0,0.508235
anthropic,claude-haiku-4-5,off,0.5,17,483,500,3.4,134035,76461,0,0.51634
anthropic,claude-haiku-4-5,off,0.6,11,489,500,2.2,134035,77193,0,0.52
anthropic,claude-haiku-4-5,off,0.7,22,478,500,4.4,134035,78298,0,0.525525
anthropic,claude-haiku-4-5,off,0.8,21,479,500,4.2,134035,78915,0,0.52861
anthropic,claude-haiku-4-5,off,0.9,20,480,500,4.0,134035,79299,0,0.53053
anthropic,claude-haiku-4-5,off,1.0,23,477,500,4.6,134035,78484,0,0.526455
anthropic,claude-haiku-4-5,off,1.1,45,455,500,9.0,134035,76965,0,0.51886
anthropic,claude-haiku-4-5,off,1.2,44,456,500,8.8,134035,78403,0,0.52605
anthropic,claude-haiku-4-5,off,1.3,51,449,500,10.2,134035,77523,0,0.52165
anthropic,claude-haiku-4-5,off,1.4,53,447,500,10.6,134035,77984,0,0.523955
anthropic,claude-haiku-4-5,off,1.5,55,445,500,11.0,134035,78649,0,0.52728
anthropic,claude-haiku-4-5,off,1.6,60,440,500,12.0,134035,78917,0,0.52862
anthropic,claude-haiku-4-5,off,1.7,53,447,500,10.6,134035,79012,0,0.529095
anthropic,claude-haiku-4-5,off,1.8,53,447,500,10.6,134035,77519,0,0.52163
anthropic,claude-haiku-4-5,off,1.9,68,432,500,13.6,134035,78474,0,0.526405
anthropic,claude-haiku-4-5,off,2.0,93,407,500,18.6,134035,80737,0,0.53772
anthropic,claude-haiku-4-5,off,2.1,87,413,500,17.4,134035,79571,0,0.53189
anthropic,claude-haiku-4-5,off,2.2,79,421,500,15.8,134035,79552,0,0.531795
anthropic,claude-haiku-4-5,off,2.3,66,434,500,13.2,134035,79685,0,0.53246
anthropic,claude-haiku-4-5,off,2.4,82,418,500,16.4,134035,80212,0,0.535095
anthropic,claude-haiku-4-5,off,2.5,88,412,500,17.6,134035,80145,0,0.53476
anthropic,claude-haiku-4-5,off,2.6,89,411,500,17.8,134035,78860,0,0.528335
anthropic,claude-haiku-4-5,off,2.7,92,408,500,18.4,134035,80040,0,0.534235
anthropic,claude-haiku-4-5,off,2.8,76,424,500,15.2,134035,79876,0,0.533415
anthropic,claude-haiku-4-5,off,2.9,90,410,500,18.0,134035,79920,0,0.533635
anthropic,claude-haiku-4-5,off,3.0,121,379,500,24.2,134035,79892,0,0.533495
anthropic,claude-haiku-4-5,off,3.1,111,389,500,22.2,134035,80656,0,0.537315
anthropic,claude-haiku-4-5,off,3.2,82,418,500,16.4,134035,80825,0,0.53816
anthropic,claude-haiku-4-5,off,3.3,108,392,500,21.6,134035,81255,0,0.54031
anthropic,claude-haiku-4-5,off,3.4,102,398,500,20.4,134035,80506,0,0.536565
anthropic,claude-haiku-4-5,off,3.5,110,390,500,22.0,134035,80646,0,0.537265
anthropic,claude-haiku-4-5,off,4.0,172,328,500,34.4,134035,79843,0,0.53325
anthropic,claude-haiku-4-5,off,5.0,164,336,500,32.8,134035,79612,0,0.532095
anthropic,claude-haiku-4-5,off,6.0,219,281,500,43.8,134035,79000,0,0.529035
anthropic,claude-haiku-4-5,off,7.0,203,297,500,40.6,134035,80986,0,0.538965
