provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
anthropic,claude-sonnet-4-0,off,0.0,69,431,500,13.8,134035,61695,0,1.32753
anthropic,claude-sonnet-4-0,off,0.1,234,266,500,46.8,134035,62421,0,1.33842
anthropic,claude-sonnet-4-0,off,0.2,214,286,500,42.8,134035,63434,0,1.353615
anthropic,claude-sonnet-4-0,off,0.3,212,288,500,42.4,134035,63197,0,1.35006
anthropic,claude-sonnet-4-0,off,0.4,231,269,500,46.2,134035,63044,0,1.347765
anthropic,claude-sonnet-4-0,off,0.5,195,305,500,39.0,134035,62493,0,1.3395
anthropic,claude-sonnet-4-0,off,0.6,236,264,500,47.2,134035,63371,0,1.35267
anthropic,claude-sonnet-4-0,off,0.7,237,263,500,47.4,134035,64196,0,1.365045
anthropic,claude-sonnet-4-0,off,0.8,199,301,500,39.8,134035,62783,0,1.34385
anthropic,claude-sonnet-4-0,off,0.9,236,264,500,47.2,134035,62346,0,1.337295
anthropic,claude-sonnet-4-0,off,1.0,180,320,500,36.0,134035,62348,0,1.337325
anthropic,claude-sonnet-4-0,off,1.1,222,278,500,44.4,134035,62327,0,1.33701
anthropic,claude-sonnet-4-0,off,1.2,211,289,500,42.2,134035,61541,0,1.32522
anthropic,claude-sonnet-4-0,off,1.3,206,294,500,41.2,134035,62338,0,1.337175
anthropic,claude-sonnet-4-0,off,1.4,212,288,500,42.4,134035,61947,0,1.33131
anthropic,claude-sonnet-4-0,off,1.5,206,294,500,41.2,134035,62291,0,1.33647
anthropic,claude-sonnet-4-0,off,1.6,214,286,500,42.8,134035,62596,0,1.341045
anthropic,claude-sonnet-4-0,off,1.7,223,277,500,44.6,134035,62353,0,1.3374
anthropic,claude-sonnet-4-0,off,1.8,235,265,500,47.0,134035,63098,0,1.348575
anthropic,claude-sonnet-4-0,off,1.9,245,255,500,49.0,134035,62589,0,1.34094
anthropic,claude-sonnet-4-0,off,2.0,257,243,500,51.4,134035,62043,0,1.33275
anthropic,claude-sonnet-4-0,off,2.1,246,254,500,49.2,134035,62924,0,1.345965
anthropic,claude-sonnet-4-0,off,2.2,250,250,500,50.0,134035,63617,0,1.35636
anthropic,claude-sonnet-4-0,off,2.3,229,271,500,45.8,134035,63238,0,1.350675
anthropic,claude-sonnet-4-0,off,2.4,257,243,500,51.4,134035,63521,0,1.35492
anthropic,claude-sonnet-4-0,off,2.5,254,246,500,50.8,134035,63881,0,1.36032
anthropic,claude-sonnet-4-0,off,2.6,258,242,500,51.6,134035,64607,0,1.37121
anthropic,claude-sonnet-4-0,off,2.7,261,239,500,52.2,134035,63598,0,1.356075
anthropic,claude-sonnet-4-0,off,2.8,254,246,500,50.8,134035,64316,0,1.366845
anthropic,claude-sonnet-4-0,off,2.9,270,230,500,54.0,134035,63626,0,1.356495
anthropic,claude-sonnet-4-0,off,3.0,275,225,500,55.0,134035,62610,0,1.341255
anthropic,claude-sonnet-4-0,off,3.1,279,221,500,55.8,134035,64467,0,1.36911
anthropic,claude-sonnet-4-0,off,3.2,274,226,500,54.8,134035,64944,0,1.376265
anthropic,claude-sonnet-4-0,off,3.3,273,227,500,54.6,134035,63316,0,1.351845
anthropic,claude-sonnet-4-0,off,3.4,283,217,500,56.6,134035,64531,0,1.37007
anthropic,claude-sonnet-4-0,off,3.5,274,226,500,54.8,134035,63561,0,1.35552
anthropic,claude-sonnet-4-0,off,4.0,321,179,500,64.2,134035,64049,0,1.36284
anthropic,claude-sonnet-4-0,off,5.0,331,169,500,66.2,134035,63706,0,1.357695
anthropic,claude-sonnet-4-0,off,6.0,358,142,500,71.6,134035,63709,0,1.35774
anthropic,claude-sonnet-4-0,off,7.0,367,133,500,73.4,134035,64692,0,1.372485
