provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
gemini,gemini-2.5-flash,off,0.0,55,445,500,11.0,123075,55607,0,0.17594
gemini,gemini-2.5-flash,off,0.1,69,431,500,13.8,123075,62661,0,0.193575
gemini,gemini-2.5-flash,off,0.2,68,432,500,13.6,123075,62898,0,0.194168
gemini,gemini-2.5-flash,off,0.3,59,441,500,11.8,123075,63078,0,0.194617
gemini,gemini-2.5-flash,off,0.4,75,425,500,15.0,123075,64596,0,0.198413
gemini,gemini-2.5-flash,off,0.5,77,423,500,15.4,123075,65218,0,0.199968
gemini,gemini-2.5-flash,off,0.6,77,423,500,15.4,123075,65775,0,0.20136
gemini,gemini-2.5-flash,off,0.7,86,412,500,17.2,123075,196072,0,0.527103
gemini,gemini-2.5-flash,off,0.8,88,412,500,17.6,123075,66764,0,0.203833
gemini,gemini-2.5-flash,off,0.9,73,427,500,14.6,123075,66876,0,0.204113
gemini,gemini-2.5-flash,off,1.0,76,424,500,15.2,123075,69175,0,0.20986
gemini,gemini-2.5-flash,off,1.1,98,402,500,19.6,123075,72412,0,0.217953
gemini,gemini-2.5-flash,off,1.2,82,418,500,16.4,123075,67744,0,0.206282
gemini,gemini-2.5-flash,off,1.3,95,405,500,19.0,123075,65405,0,0.200435
gemini,gemini-2.5-flash,off,1.4,79,421,500,15.8,123075,71027,0,0.21449
gemini,gemini-2.5-flash,off,1.5,110,390,500,22.0,123075,72638,0,0.218517
gemini,gemini-2.5-flash,off,1.6,96,404,500,19.2,123075,69112,0,0.209703
gemini,gemini-2.5-flash,off,1.7,104,396,500,20.8,123075,72368,0,0.217842
gemini,gemini-2.5-flash,off,1.8,104,396,500,20.8,123075,70541,0,0.213275
gemini,gemini-2.5-flash,off,1.9,84,416,500,16.8,123075,69273,0,0.210105
gemini,gemini-2.5-flash,off,2.0,92,408,500,18.4,123075,63729,0,0.196245
gemini,gemini-2.5-flash,off,2.1,101,399,500,20.2,123075,69268,0,0.210093
gemini,gemini-2.5-flash,off,2.2,79,421,500,15.8,123075,68166,0,0.207337
gemini,gemini-2.5-flash,off,2.3,88,412,500,17.6,123075,68994,0,0.209408
gemini,gemini-2.5-flash,off,2.4,93,407,500,18.6,123075,69330,0,0.210248
gemini,gemini-2.5-flash,off,2.5,111,389,500,22.2,123075,72944,0,0.219282
gemini,gemini-2.5-flash,off,2.6,109,391,500,21.8,123075,70191,0,0.2124
gemini,gemini-2.5-flash,off,2.7,97,403,500,19.4,123075,67285,0,0.205135
gemini,gemini-2.5-flash,off,2.8,78,422,500,15.6,123075,71959,0,0.21682
gemini,gemini-2.5-flash,off,2.9,73,427,500,14.6,123075,71431,0,0.2155
gemini,gemini-2.5-flash,off,3.0,108,392,500,21.6,123075,68901,0,0.209175
gemini,gemini-2.5-flash,off,3.1,96,404,500,19.2,123075,67934,0,0.206757
gemini,gemini-2.5-flash,off,3.2,112,388,500,22.4,123075,68448,0,0.208042
gemini,gemini-2.5-flash,off,3.3,107,393,500,21.4,123075,69702,0,0.211178
gemini,gemini-2.5-flash,off,3.4,96,404,500,19.2,123075,71654,0,0.216058
gemini,gemini-2.5-flash,off,3.5,128,372,500,25.6,123075,71820,0,0.216473
gemini,gemini-2.5-flash,off,4.0,111,389,500,22.2,123075,69863,0,0.21158
gemini,gemini-2.5-flash,off,5.0,125,375,500,25.0,123075,68263,0,0.20758
gemini,gemini-2.5-flash,off,6.0,111,389,500,22.2,123075,68429,0,0.207995
gemini,gemini-2.5-flash,off,7.0,132,368,500,26.4,123075,67457,0,0.205565
