provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,gpt-3.5-turbo,off,0,278,222,500,55.6,122045,8554,0,0.073853
openai,gpt-3.5-turbo,off,0.1,439,61,500,87.8,122045,9084,0,0.074648
openai,gpt-3.5-turbo,off,0.2,467,33,500,93.4,122045,9072,0,0.07463
openai,gpt-3.5-turbo,off,0.3,465,35,500,93.0,122045,9115,0,0.074695
openai,gpt-3.5-turbo,off,0.4,467,33,500,93.4,122045,9067,0,0.074623
openai,gpt-3.5-turbo,off,0.5,452,48,500,90.4,122045,9085,0,0.07465
openai,gpt-3.5-turbo,off,0.6,487,13,500,97.4,122045,9181,0,0.074794
openai,gpt-3.5-turbo,off,0.7,475,25,500,95.0,122045,9257,0,0.074908
openai,gpt-3.5-turbo,off,0.8,492,8,500,98.4,122045,9286,0,0.074951
openai,gpt-3.5-turbo,off,0.9,472,28,500,94.4,122045,9112,0,0.07469
openai,gpt-3.5-turbo,off,1.0,496,4,500,99.2,122045,9422,0,0.075155
openai,gpt-3.5-turbo,off,1.1,496,4,500,99.2,122045,9477,0,0.075238
openai,gpt-3.5-turbo,off,1.2,495,5,500,99.0,122045,9521,0,0.075304
openai,gpt-3.5-turbo,off,1.3,499,1,500,99.8,122045,9446,0,0.075191
openai,gpt-3.5-turbo,off,1.4,498,2,500,99.6,122045,9498,0,0.075269
openai,gpt-3.5-turbo,off,1.5,499,1,500,99.8,122045,9391,0,0.075109
openai,gpt-3.5-turbo,off,1.6,500,0,500,100.0,122045,9526,0,0.075311
openai,gpt-3.5-turbo,off,1.7,499,1,500,99.8,122045,9466,0,0.075221
openai,gpt-3.5-turbo,off,1.8,497,3,500,99.4,122045,9497,0,0.075268
openai,gpt-3.5-turbo,off,1.9,497,3,500,99.4,122045,9524,0,0.075308
openai,gpt-3.5-turbo,off,2.0,498,2,500,99.6,122045,9564,0,0.075368
openai,gpt-3.5-turbo,off,2.1,499,1,500,99.8,122045,9510,0,0.075287
openai,gpt-3.5-turbo,off,2.2,499,1,500,99.8,122045,9454,0,0.075203
openai,gpt-3.5-turbo,off,2.3,499,1,500,99.8,122045,9463,0,0.075217
openai,gpt-3.5-turbo,off,2.4,500,0,500,100.0,122045,9404,0,0.075128
openai,gpt-3.5-turbo,off,2.5,500,0,500,100.0,122045,9509,0,0.075286
openai,gpt-3.5-turbo,off,2.6,498,2,500,99.6,122045,9461,0,0.075214
openai,gpt-3.5-turbo,off,2.7,498,2,500,99.6,122045,9506,0,0.075281
openai,gpt-3.5-turbo,off,2.8,500,0,500,100.0,122045,9540,0,0.075332
openai,gpt-3.5-turbo,off,2.9,499,1,500,99.8,122045,9473,0,0.075232
openai,gpt-3.5-turbo,off,3.0,497,3,500,99.4,122045,9522,0,0.075305
openai,gpt-3.5-turbo,off,3.1,500,0,500,100.0,122045,9498,0,0.075269
openai,gpt-3.5-turbo,off,3.2,500,0,500,100.0,122045,9461,0,0.075214
openai,gpt-3.5-turbo,off,3.3,500,0,500,100.0,122045,9518,0,0.075299
openai,gpt-3.5-turbo,off,3.4,499,1,500,99.8,122045,9513,0,0.075292
openai,gpt-3.5-turbo,off,3.5,499,1,500,99.8,122045,9496,0,0.075266
openai,gpt-3.5-turbo,off,4.0,499,1,500,99.8,122045,9506,0,0.075281
openai,gpt-3.5-turbo,off,5.0,498,2,500,99.6,122045,9486,0,0.075251
openai,gpt-3.5-turbo,off,6.0,494,6,500,98.8,122045,9639,0,0.075481
openai,gpt-3.5-turbo,off,7.0,498,2,500,99.6,122045,9506,0,0.075281
