provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,gpt-4.1,off,0,0,500,500,0.0,121530,30432,0,0.486516
openai,gpt-4.1,off,0.1,5,495,500,1.0,121530,40954,0,0.570692
openai,gpt-4.1,off,0.2,5,495,500,1.0,121530,42179,0,0.580492
openai,gpt-4.1,off,0.3,17,483,500,3.4,121530,42674,0,0.584452
openai,gpt-4.1,off,0.4,23,477,500,4.6,121530,43676,0,0.592468
openai,gpt-4.1,off,0.5,16,484,500,3.2,121530,43523,0,0.591244
openai,gpt-4.1,off,0.6,29,471,500,5.8,121530,43383,0,0.590124
openai,gpt-4.1,off,0.7,46,454,500,9.2,121530,43987,0,0.594956
openai,gpt-4.1,off,0.8,24,476,500,4.8,121530,44186,0,0.596548
openai,gpt-4.1,off,0.9,35,465,500,7.0,121530,44203,0,0.596684
openai,gpt-4.1,off,1.0,54,446,500,10.8,121530,43905,0,0.5943
openai,gpt-4.1,off,1.1,52,448,500,10.4,121530,43131,0,0.588108
openai,gpt-4.1,off,1.2,48,452,500,9.6,121530,42442,0,0.582596
openai,gpt-4.1,off,1.3,60,440,500,12.0,121530,43504,0,0.591092
openai,gpt-4.1,off,1.4,63,437,500,12.6,121530,43656,0,0.592308
openai,gpt-4.1,off,1.5,72,428,500,14.4,121530,42488,0,0.582964
openai,gpt-4.1,off,1.6,72,428,500,14.4,121530,42920,0,0.58642
openai,gpt-4.1,off,1.7,62,438,500,12.4,121530,42859,0,0.585932
openai,gpt-4.1,off,1.8,62,438,500,12.4,121530,43014,0,0.587172
openai,gpt-4.1,off,1.9,80,420,500,16.0,121530,42595,0,0.58382
openai,gpt-4.1,off,2.0,72,428,500,14.4,121530,42745,0,0.58502
openai,gpt-4.1,off,2.1,70,430,500,14.0,121530,41581,0,0.575708
openai,gpt-4.1,off,2.2,87,413,500,17.4,121530,41430,0,0.5745
openai,gpt-4.1,off,2.3,87,413,500,17.4,121530,41863,0,0.577964
openai,gpt-4.1,off,2.4,75,425,500,15.0,121530,41879,0,0.578092
openai,gpt-4.1,off,2.5,95,405,500,19.0,121530,42347,0,0.581836
openai,gpt-4.1,off,2.6,91,409,500,18.2,121530,41012,0,0.571156
openai,gpt-4.1,off,2.7,99,401,500,19.8,121530,41132,0,0.572116
openai,gpt-4.1,off,2.8,81,419,500,16.2,121530,41854,0,0.577892
openai,gpt-4.1,off,2.9,90,410,500,18.0,121530,41410,0,0.57434
openai,gpt-4.1,off,3.0,97,403,500,19.4,121530,42097,0,0.579836
openai,gpt-4.1,off,3.1,102,398,500,20.4,121530,41196,0,0.572628
openai,gpt-4.1,off,3.2,87,413,500,17.4,121530,41538,0,0.575364
openai,gpt-4.1,off,3.3,105,395,500,21.0,121530,42177,0,0.580476
openai,gpt-4.1,off,3.4,107,393,500,21.4,121530,40860,0,0.56994
openai,gpt-4.1,off,3.5,107,393,500,21.4,121530,41190,0,0.57258
openai,gpt-4.1,off,4.0,111,389,500,22.2,121530,44393,0,0.598204
openai,gpt-4.1,off,5.0,147,353,500,29.4,121530,41905,0,0.5783
openai,gpt-4.1,off,6.0,140,360,500,28.0,121530,41749,0,0.577052
openai,gpt-4.1,off,7.0,163,337,500,32.6,121530,41727,0,0.576876
