provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,gpt-5.2,low,0,10,490,500,2.0,121030,68789,0,1.174848
openai,gpt-5.2,low,0.1,340,160,500,68.0,121030,84821,0,1.399296
openai,gpt-5.2,low,0.2,421,79,500,84.2,121030,79382,0,1.323151
openai,gpt-5.2,low,0.3,429,71,500,85.8,121030,76043,0,1.276404
openai,gpt-5.2,low,0.4,456,44,500,91.2,121030,71436,0,1.211906
openai,gpt-5.2,low,0.5,459,41,500,91.8,121030,69432,0,1.183851
openai,gpt-5.2,low,0.6,476,24,500,95.2,121030,68762,0,1.17447
openai,gpt-5.2,low,0.7,472,28,500,94.4,121030,67673,0,1.159225
openai,gpt-5.2,low,0.8,478,22,500,95.6,121030,66617,0,1.14444
openai,gpt-5.2,low,0.9,477,23,500,95.4,121030,65741,0,1.132177
openai,gpt-5.2,low,1.0,475,25,500,95.0,121030,66007,0,1.1359
openai,gpt-5.2,low,1.1,487,13,500,97.4,121030,67576,0,1.157866
openai,gpt-5.2,low,1.2,482,18,500,96.4,121030,67063,0,1.150684
openai,gpt-5.2,low,1.3,482,18,500,96.4,121030,67225,0,1.152952
openai,gpt-5.2,low,1.4,488,12,500,97.6,121030,67687,0,1.15942
openai,gpt-5.2,low,1.5,478,22,500,95.6,121030,68129,0,1.165609
openai,gpt-5.2,low,1.6,483,17,500,96.6,121030,67302,0,1.15403
openai,gpt-5.2,low,1.7,483,17,500,96.6,121030,67604,0,1.158258
openai,gpt-5.2,low,1.8,487,13,500,97.4,121030,66996,0,1.149747
openai,gpt-5.2,low,1.9,487,13,500,97.4,121030,66567,0,1.143741
openai,gpt-5.2,low,2.0,472,28,500,94.4,121030,67811,0,1.161156
openai,gpt-5.2,low,2.1,487,13,500,97.4,121030,66455,0,1.142172
openai,gpt-5.2,low,2.2,488,12,500,97.6,121030,66254,0,1.139358
openai,gpt-5.2,low,2.3,490,10,500,98.0,121030,66866,0,1.147927
openai,gpt-5.2,low,2.4,482,18,500,96.4,121030,66183,0,1.138364
openai,gpt-5.2,low,2.5,490,10,500,98.0,121030,65425,0,1.127752
openai,gpt-5.2,low,2.6,493,7,500,98.6,121030,65472,0,1.128411
openai,gpt-5.2,low,2.7,493,7,500,98.6,121030,66723,0,1.145925
openai,gpt-5.2,low,2.8,489,11,500,97.8,121030,65870,0,1.133982
openai,gpt-5.2,low,2.9,492,8,500,98.4,121030,65860,0,1.133843
openai,gpt-5.2,low,3.0,492,8,500,98.4,121030,63568,0,1.101754
openai,gpt-5.2,low,3.1,494,6,500,98.8,121030,65048,0,1.122475
openai,gpt-5.2,low,3.2,492,8,500,98.4,121030,64689,0,1.117449
openai,gpt-5.2,low,3.3,497,3,500,99.4,121030,64571,0,1.115797
openai,gpt-5.2,low,3.4,493,7,500,98.6,121030,64695,0,1.117533
openai,gpt-5.2,low,3.5,496,4,500,99.2,121030,64591,0,1.116077
openai,gpt-5.2,low,4.0,490,10,500,98.0,121030,63471,0,1.100397
openai,gpt-5.2,low,5.0,494,6,500,98.8,121030,62549,0,1.087489
openai,gpt-5.2,low,6.0,494,6,500,98.8,121030,63107,0,1.0953
openai,gpt-5.2,low,7.0,495,5,500,99.0,121030,62037,0,1.08032
