provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
anthropic,claude-3-haiku-20240307,off,0.0,5,495,500,1.0,134035,55080,0,0.102359
anthropic,claude-3-haiku-20240307,off,0.1,426,74,500,85.2,134035,51947,0,0.098443
anthropic,claude-3-haiku-20240307,off,0.2,474,26,500,94.8,134035,48169,0,0.09372
anthropic,claude-3-haiku-20240307,off,0.3,465,35,500,93.0,134035,47367,0,0.092717
anthropic,claude-3-haiku-20240307,off,0.4,469,31,500,93.8,134035,46020,0,0.091034
anthropic,claude-3-haiku-20240307,off,0.5,460,40,500,92.0,134035,52920,0,0.099659
anthropic,claude-3-haiku-20240307,off,0.6,480,20,500,96.0,134035,47095,0,0.092377
anthropic,claude-3-haiku-20240307,off,0.7,461,39,500,92.2,134035,46934,0,0.092176
anthropic,claude-3-haiku-20240307,off,0.8,475,25,500,95.0,134035,47327,0,0.092667
anthropic,claude-3-haiku-20240307,off,0.9,466,34,500,93.2,134035,47219,0,0.092532
anthropic,claude-3-haiku-20240307,off,1.0,451,49,500,90.2,134035,54924,0,0.102164
anthropic,claude-3-haiku-20240307,off,1.1,468,32,500,93.6,134035,49914,0,0.095901
anthropic,claude-3-haiku-20240307,off,1.2,463,37,500,92.6,134035,50863,0,0.097087
anthropic,claude-3-haiku-20240307,off,1.3,468,32,500,93.6,134035,50659,0,0.096832
anthropic,claude-3-haiku-20240307,off,1.4,473,27,500,94.6,134035,49889,0,0.09587
anthropic,claude-3-haiku-20240307,off,1.5,452,48,500,90.4,134035,51465,0,0.09784
anthropic,claude-3-haiku-20240307,off,1.6,450,50,500,90.0,134035,49901,0,0.095885
anthropic,claude-3-haiku-20240307,off,1.7,446,54,500,89.2,134035,50501,0,0.096635
anthropic,claude-3-haiku-20240307,off,1.8,452,48,500,90.4,134035,50076,0,0.096104
anthropic,claude-3-haiku-20240307,off,1.9,465,35,500,93.0,134035,50174,0,0.096226
anthropic,claude-3-haiku-20240307,off,2.0,453,47,500,90.6,134035,53009,0,0.09977
anthropic,claude-3-haiku-20240307,off,2.1,449,51,500,89.8,134035,50858,0,0.097081
anthropic,claude-3-haiku-20240307,off,2.2,465,35,500,93.0,134035,50137,0,0.09618
anthropic,claude-3-haiku-20240307,off,2.3,454,46,500,90.8,134035,50216,0,0.096279
anthropic,claude-3-haiku-20240307,off,2.4,454,46,500,90.8,134035,50179,0,0.096232
anthropic,claude-3-haiku-20240307,off,2.5,471,29,500,94.2,134035,51770,0,0.098221
anthropic,claude-3-haiku-20240307,off,2.6,474,26,500,94.8,134035,49710,0,0.095646
anthropic,claude-3-haiku-20240307,off,2.7,472,28,500,94.4,134035,49929,0,0.09592
anthropic,claude-3-haiku-20240307,off,2.8,463,37,500,92.6,134035,49911,0,0.095897
anthropic,claude-3-haiku-20240307,off,2.9,478,22,500,95.6,134035,50153,0,0.0962
anthropic,claude-3-haiku-20240307,off,3.0,463,37,500,92.6,134035,53031,0,0.099797
anthropic,claude-3-haiku-20240307,off,3.1,476,24,500,95.2,134035,50161,0,0.09621
anthropic,claude-3-haiku-20240307,off,3.2,467,33,500,93.4,134035,50734,0,0.096926
anthropic,claude-3-haiku-20240307,off,3.3,479,21,500,95.8,134035,51097,0,0.09738
anthropic,claude-3-haiku-20240307,off,3.4,467,33,500,93.4,134035,51443,0,0.097812
anthropic,claude-3-haiku-20240307,off,3.5,475,25,500,95.0,134035,52120,0,0.098659
anthropic,claude-3-haiku-20240307,off,4.0,477,23,500,95.4,134035,49684,0,0.095614
anthropic,claude-3-haiku-20240307,off,5.0,458,42,500,91.6,134035,54892,0,0.102124
anthropic,claude-3-haiku-20240307,off,6.0,472,28,500,94.4,134035,52838,0,0.099556
anthropic,claude-3-haiku-20240307,off,7.0,485,15,500,97.0,134035,51647,0,0.098068
