provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
anthropic,claude-opus-4-5,off,0.0,0,500,500,0.0,134035,69405,0,2.4053
anthropic,claude-opus-4-5,off,0.1,18,482,500,3.6,134035,76997,0,2.5951
anthropic,claude-opus-4-5,off,0.2,13,487,500,2.6,134035,77279,0,2.60215
anthropic,claude-opus-4-5,off,0.3,29,471,500,5.8,134035,77613,0,2.6105
anthropic,claude-opus-4-5,off,0.4,29,471,500,5.8,134035,77870,0,2.616925
anthropic,claude-opus-4-5,off,0.5,46,454,500,9.2,134035,78924,0,2.643275
anthropic,claude-opus-4-5,off,0.6,42,458,500,8.4,134035,78397,0,2.6301
anthropic,claude-opus-4-5,off,0.7,50,450,500,10.0,134035,79353,0,2.654
anthropic,claude-opus-4-5,off,0.8,46,454,500,9.2,134035,78097,0,2.6226
anthropic,claude-opus-4-5,off,0.9,60,440,500,12.0,134035,78555,0,2.63405
anthropic,claude-opus-4-5,off,1.0,71,429,500,14.2,134035,77607,0,2.61035
anthropic,claude-opus-4-5,off,1.1,73,427,500,14.6,134035,79144,0,2.648775
anthropic,claude-opus-4-5,off,1.2,77,423,500,15.4,134035,78585,0,2.6348
anthropic,claude-opus-4-5,off,1.3,68,432,500,13.6,134035,79212,0,2.650475
anthropic,claude-opus-4-5,off,1.4,82,418,500,16.4,134035,78571,0,2.63445
anthropic,claude-opus-4-5,off,1.5,87,413,500,17.4,134035,80719,0,2.68815
anthropic,claude-opus-4-5,off,1.6,85,415,500,17.0,134035,78945,0,2.6438
anthropic,claude-opus-4-5,off,1.7,89,411,500,17.8,134035,79096,0,2.647575
anthropic,claude-opus-4-5,off,1.8,80,420,500,16.0,134035,79987,0,2.66985
anthropic,claude-opus-4-5,off,1.9,91,409,500,18.2,134035,79571,0,2.65945
anthropic,claude-opus-4-5,off,2.0,83,417,500,16.6,134035,77996,0,2.620075
anthropic,claude-opus-4-5,off,2.1,87,413,500,17.4,134035,79771,0,2.66445
anthropic,claude-opus-4-5,off,2.2,91,409,500,18.2,134035,80065,0,2.6718
anthropic,claude-opus-4-5,off,2.3,90,410,500,18.0,134035,79281,0,2.6522
anthropic,claude-opus-4-5,off,2.4,88,412,500,17.6,134035,79635,0,2.66105
anthropic,claude-opus-4-5,off,2.5,121,379,500,24.2,134035,81166,0,2.699325
anthropic,claude-opus-4-5,off,2.6,100,400,500,20.0,134035,80333,0,2.6785
anthropic,claude-opus-4-5,off,2.7,91,409,500,18.2,134035,79984,0,2.669775
anthropic,claude-opus-4-5,off,2.8,110,390,500,22.0,134035,79481,0,2.6572
anthropic,claude-opus-4-5,off,2.9,100,400,500,20.0,134035,79367,0,2.65435
anthropic,claude-opus-4-5,off,3.0,98,402,500,19.6,134035,78606,0,2.635325
anthropic,claude-opus-4-5,off,3.1,109,391,500,21.8,134035,79865,0,2.6668
anthropic,claude-opus-4-5,off,3.2,116,384,500,23.2,134035,79988,0,2.669875
anthropic,claude-opus-4-5,off,3.3,111,389,500,22.2,134035,79975,0,2.66955
anthropic,claude-opus-4-5,off,3.4,125,375,500,25.0,134035,80210,0,2.675425
anthropic,claude-opus-4-5,off,3.5,134,366,500,26.8,134035,81363,0,2.70425
anthropic,claude-opus-4-5,off,4.0,131,369,500,26.2,134035,79396,0,2.655075
anthropic,claude-opus-4-5,off,5.0,137,363,500,27.4,134035,80398,0,2.680125
anthropic,claude-opus-4-5,off,6.0,152,348,500,30.4,134035,79639,0,2.66115
anthropic,claude-opus-4-5,off,7.0,176,324,500,35.2,134035,80180,0,2.674675
