provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
anthropic,claude-sonnet-4-5,off,0,2,498,500,0.4,134035,70753,0,1.4634
anthropic,claude-sonnet-4-5,off,0.1,55,445,500,11.0,134035,75508,0,1.534725
anthropic,claude-sonnet-4-5,off,0.2,65,435,500,13.0,134035,76662,0,1.552035
anthropic,claude-sonnet-4-5,off,0.3,56,444,500,11.2,134035,77317,0,1.56186
anthropic,claude-sonnet-4-5,off,0.4,78,422,500,15.6,134035,78366,0,1.577595
anthropic,claude-sonnet-4-5,off,0.5,92,408,500,18.4,134035,77027,0,1.55751
anthropic,claude-sonnet-4-5,off,0.6,82,418,500,16.4,134035,77739,0,1.56819
anthropic,claude-sonnet-4-5,off,0.7,103,397,500,20.6,134035,77827,0,1.56951
anthropic,claude-sonnet-4-5,off,0.8,120,380,500,24.0,134035,77941,0,1.57122
anthropic,claude-sonnet-4-5,off,0.9,138,362,500,27.6,134035,79156,0,1.589445
anthropic,claude-sonnet-4-5,off,1.0,138,362,500,27.6,134035,81514,0,1.624815
anthropic,claude-sonnet-4-5,off,1.1,154,346,500,30.8,134035,81420,0,1.623405
anthropic,claude-sonnet-4-5,off,1.2,142,358,500,28.4,134035,79720,0,1.597905
anthropic,claude-sonnet-4-5,off,1.3,154,346,500,30.8,134035,79474,0,1.594215
anthropic,claude-sonnet-4-5,off,1.4,147,353,500,29.4,134035,80472,0,1.609185
anthropic,claude-sonnet-4-5,off,1.5,169,331,500,33.8,134035,81201,0,1.62012
anthropic,claude-sonnet-4-5,off,1.6,146,354,500,29.2,134035,80035,0,1.60263
anthropic,claude-sonnet-4-5,off,1.7,142,358,500,28.4,134035,80437,0,1.60866
anthropic,claude-sonnet-4-5,off,1.8,172,328,500,34.4,134035,80945,0,1.61628
anthropic,claude-sonnet-4-5,off,1.9,160,340,500,32.0,134035,80671,0,1.61217
anthropic,claude-sonnet-4-5,off,2.0,169,331,500,33.8,134035,80515,0,1.60983
anthropic,claude-sonnet-4-5,off,2.1,187,313,500,37.4,134035,80100,0,1.603605
anthropic,claude-sonnet-4-5,off,2.2,190,310,500,38.0,134035,79030,0,1.587555
anthropic,claude-sonnet-4-5,off,2.3,181,319,500,36.2,134035,80045,0,1.60278
anthropic,claude-sonnet-4-5,off,2.4,190,310,500,38.0,134035,79340,0,1.592205
anthropic,claude-sonnet-4-5,off,2.5,225,275,500,45.0,134035,80451,0,1.60887
anthropic,claude-sonnet-4-5,off,2.6,202,298,500,40.4,134035,79538,0,1.595175
anthropic,claude-sonnet-4-5,off,2.7,197,303,500,39.4,134035,79153,0,1.5894
anthropic,claude-sonnet-4-5,off,2.8,215,285,500,43.0,134035,78668,0,1.582125
anthropic,claude-sonnet-4-5,off,2.9,200,300,500,40.0,134035,78758,0,1.583475
anthropic,claude-sonnet-4-5,off,3.0,201,299,500,40.2,134035,75555,0,1.53543
anthropic,claude-sonnet-4-5,off,3.1,204,296,500,40.8,134035,77531,0,1.56507
anthropic,claude-sonnet-4-5,off,3.2,196,304,500,39.2,134035,78566,0,1.580595
anthropic,claude-sonnet-4-5,off,3.3,195,305,500,39.0,134035,79461,0,1.59402
anthropic,claude-sonnet-4-5,off,3.4,204,296,500,40.8,134035,77173,0,1.5597
anthropic,claude-sonnet-4-5,off,3.5,224,276,500,44.8,134035,77284,0,1.561365
anthropic,claude-sonnet-4-5,off,4.0,201,299,500,40.2,134035,78815,0,1.58433
anthropic,claude-sonnet-4-5,off,5.0,240,260,500,48.0,134035,79713,0,1.5978
anthropic,claude-sonnet-4-5,off,6.0,231,269,500,46.2,134035,79309,0,1.59174
anthropic,claude-sonnet-4-5,off,7.0,240,260,500,48.0,134035,77409,0,1.56324
