provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
gemini,gemini-3-flash-preview,high,0.0,19,481,500,3.8,123075,32671,473852,1.581106
gemini,gemini-3-flash-preview,high,0.1,90,410,500,18.0,123075,38954,506601,1.698203
gemini,gemini-3-flash-preview,high,0.2,101,399,500,20.2,123075,38391,509361,1.704794
gemini,gemini-3-flash-preview,high,0.3,99,401,500,19.8,123075,38714,496087,1.66594
gemini,gemini-3-flash-preview,high,0.4,110,390,500,22.0,123075,38690,525170,1.753118
gemini,gemini-3-flash-preview,high,0.5,108,392,500,21.6,123075,38537,540592,1.798925
gemini,gemini-3-flash-preview,high,0.6,117,383,500,23.4,123075,38447,501688,1.681942
gemini,gemini-3-flash-preview,high,0.7,109,391,500,21.8,123075,37924,554734,1.839512
gemini,gemini-3-flash-preview,high,0.8,115,385,500,23.0,123075,38000,529216,1.763185
gemini,gemini-3-flash-preview,high,0.9,128,372,500,25.6,123075,37807,559336,1.852966
gemini,gemini-3-flash-preview,high,1.0,131,369,500,26.2,123075,38808,541113,1.8013
gemini,gemini-3-flash-preview,high,1.1,127,373,500,25.4,123075,38324,549220,1.82417
gemini,gemini-3-flash-preview,high,1.2,131,369,500,26.2,123075,38905,557357,1.850323
gemini,gemini-3-flash-preview,high,1.3,138,362,500,27.6,123075,38267,539550,1.794988
gemini,gemini-3-flash-preview,high,1.4,136,364,500,27.2,123075,38585,551027,1.830373
gemini,gemini-3-flash-preview,high,1.5,139,361,500,27.8,123075,38989,584028,1.930588
gemini,gemini-3-flash-preview,high,1.6,125,375,500,25.0,123075,38480,576585,1.906733
gemini,gemini-3-flash-preview,high,1.7,136,364,500,27.2,123075,38155,563216,1.865651
gemini,gemini-3-flash-preview,high,1.8,134,366,500,26.8,123075,38168,538279,1.790879
gemini,gemini-3-flash-preview,high,1.9,151,349,500,30.2,123075,38490,539603,1.795816
gemini,gemini-3-flash-preview,high,2.0,134,366,500,26.8,123075,37864,546445,1.814465
gemini,gemini-3-flash-preview,high,2.1,139,361,500,27.8,123075,38040,584046,1.927795
gemini,gemini-3-flash-preview,high,2.2,140,360,500,28.0,123075,38017,585048,1.930733
gemini,gemini-3-flash-preview,high,2.3,143,357,500,28.6,123075,38371,549988,1.826615
gemini,gemini-3-flash-preview,high,2.4,140,360,500,28.0,123075,38039,558130,1.850044
gemini,gemini-3-flash-preview,high,2.5,144,356,500,28.8,123075,38345,558717,1.852724
gemini,gemini-3-flash-preview,high,2.6,147,353,500,29.4,123075,38186,545256,1.811863
gemini,gemini-3-flash-preview,high,2.7,139,361,500,27.8,123075,37578,594517,1.957823
gemini,gemini-3-flash-preview,high,2.8,144,356,500,28.8,123075,38546,577121,1.908539
gemini,gemini-3-flash-preview,high,2.9,147,353,500,29.4,123075,38240,543262,1.806043
gemini,gemini-3-flash-preview,high,3.0,146,354,500,29.2,123075,37153,572315,1.889941
gemini,gemini-3-flash-preview,high,3.1,143,357,500,28.6,123075,37558,568886,1.88087
gemini,gemini-3-flash-preview,high,3.2,149,351,500,29.8,123075,38082,597148,1.967228
gemini,gemini-3-flash-preview,high,3.3,143,357,500,28.6,123075,37323,571319,1.887464
gemini,gemini-3-flash-preview,high,3.4,146,354,500,29.2,123075,37990,609088,2.002771
gemini,gemini-3-flash-preview,high,3.5,151,349,500,30.2,123075,38295,559901,1.856126
gemini,gemini-3-flash-preview,high,4.0,162,338,500,32.4,123075,37660,623068,2.043722
gemini,gemini-3-flash-preview,high,5.0,171,329,500,34.2,123075,37277,602873,1.981987
gemini,gemini-3-flash-preview,high,6.0,169,331,500,33.8,123075,37600,610682,2.006383
gemini,gemini-3-flash-preview,high,7.0,179,321,500,35.8,123075,37279,609959,2.003252
