provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,gpt-5.2,high,0,18,482,500,3.6,121030,106227,0,1.69898
openai,gpt-5.2,high,0.1,311,189,500,62.2,121030,151499,0,2.332789
openai,gpt-5.2,high,0.2,368,132,500,73.6,121030,148046,0,2.284447
openai,gpt-5.2,high,0.3,389,111,500,77.8,121030,144706,0,2.237686
openai,gpt-5.2,high,0.4,436,64,500,87.2,121030,134736,0,2.098106
openai,gpt-5.2,high,0.5,426,74,500,85.2,121030,128461,0,2.010256
openai,gpt-5.2,high,0.6,442,58,500,88.4,121030,128601,0,2.012217
openai,gpt-5.2,high,0.7,439,61,500,87.8,121030,124603,0,1.956244
openai,gpt-5.2,high,0.8,451,49,500,90.2,121030,123759,0,1.944429
openai,gpt-5.2,high,0.9,452,48,500,90.4,121030,118401,0,1.869417
openai,gpt-5.2,high,1.0,450,50,500,90.0,121030,114003,0,1.807844
openai,gpt-5.2,high,1.1,465,35,500,93.0,121030,115376,0,1.827067
openai,gpt-5.2,high,1.2,455,45,500,91.0,121030,117711,0,1.859756
openai,gpt-5.2,high,1.3,461,39,500,92.2,121030,113914,0,1.806599
openai,gpt-5.2,high,1.4,453,47,500,90.6,121030,115124,0,1.823539
openai,gpt-5.2,high,1.5,464,36,500,92.8,121030,115352,0,1.826731
openai,gpt-5.2,high,1.6,458,42,500,91.6,121030,114165,0,1.810113
openai,gpt-5.2,high,1.7,465,35,500,93.0,121030,111596,0,1.774146
openai,gpt-5.2,high,1.8,461,39,500,92.2,121030,111311,0,1.770156
openai,gpt-5.2,high,1.9,469,31,500,93.8,121030,109842,0,1.74959
openai,gpt-5.2,high,2.0,449,51,500,89.8,121030,107857,0,1.7218
openai,gpt-5.2,high,2.1,464,36,500,92.8,121030,109668,0,1.747154
openai,gpt-5.2,high,2.2,464,36,500,92.8,121030,110501,0,1.758816
openai,gpt-5.2,high,2.3,469,31,500,93.8,121030,108582,0,1.73195
openai,gpt-5.2,high,2.4,464,36,500,92.8,121030,110334,0,1.756478
openai,gpt-5.2,high,2.5,460,40,500,92.0,121030,113875,0,1.806053
openai,gpt-5.2,high,2.6,463,37,500,92.6,121030,112856,0,1.791786
openai,gpt-5.2,high,2.7,468,32,500,93.6,121030,112339,0,1.784549
openai,gpt-5.2,high,2.8,463,37,500,92.6,121030,115582,0,1.82995
openai,gpt-5.2,high,2.9,470,30,500,94.0,121030,110762,0,1.76247
openai,gpt-5.2,high,3.0,468,32,500,93.6,121030,108491,0,1.730677
openai,gpt-5.2,high,3.1,471,29,500,94.2,121030,110489,0,1.758649
openai,gpt-5.2,high,3.2,475,25,500,95.0,121030,113584,0,1.801979
openai,gpt-5.2,high,3.3,471,29,500,94.2,121030,108116,0,1.725426
openai,gpt-5.2,high,3.4,476,24,500,95.2,121030,108267,0,1.72754
openai,gpt-5.2,high,3.5,470,30,500,94.0,121030,111041,0,1.766377
openai,gpt-5.2,high,4.0,464,36,500,92.8,121030,104539,0,1.675348
openai,gpt-5.2,high,5.0,478,22,500,95.6,121030,99144,0,1.599818
openai,gpt-5.2,high,6.0,474,26,500,94.8,121030,101089,0,1.627049
openai,gpt-5.2,high,7.0,481,19,500,96.2,121030,98085,0,1.584993
