provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,gpt-5.2,medium,0.0,14,486,500,2.8,121030,88678,0,1.453295
openai,gpt-5.2,medium,0.1,338,162,500,67.6,121030,118107,0,1.865301
openai,gpt-5.2,medium,0.2,381,119,500,76.2,121030,112847,0,1.79166
openai,gpt-5.2,medium,0.3,411,89,500,82.2,121030,108025,0,1.724153
openai,gpt-5.2,medium,0.4,434,66,500,86.8,121030,104591,0,1.676076
openai,gpt-5.2,medium,0.5,445,55,500,89.0,121030,98057,0,1.5846
openai,gpt-5.2,medium,0.6,454,46,500,90.8,121030,96764,0,1.566498
openai,gpt-5.2,medium,0.7,457,43,500,91.4,121030,94269,0,1.531569
openai,gpt-5.2,medium,0.8,460,40,500,92.0,121030,93009,0,1.513929
openai,gpt-5.2,medium,0.9,468,32,500,93.6,121030,90828,0,1.483395
openai,gpt-5.2,medium,1.0,464,36,500,92.8,121030,89930,0,1.470822
openai,gpt-5.2,medium,1.1,467,33,500,93.4,121030,91060,0,1.486642
openai,gpt-5.2,medium,1.2,473,27,500,94.6,121030,90440,0,1.477962
openai,gpt-5.2,medium,1.3,467,33,500,93.4,121030,89521,0,1.465097
openai,gpt-5.2,medium,1.4,480,20,500,96.0,121030,88958,0,1.457215
openai,gpt-5.2,medium,1.5,474,26,500,94.8,121030,90757,0,1.4824
openai,gpt-5.2,medium,1.6,473,27,500,94.6,121030,90750,0,1.482302
openai,gpt-5.2,medium,1.7,472,28,500,94.4,121030,89987,0,1.47162
openai,gpt-5.2,medium,1.8,479,21,500,95.8,121030,88481,0,1.450537
openai,gpt-5.2,medium,1.9,477,23,500,95.4,121030,87155,0,1.431972
openai,gpt-5.2,medium,2.0,459,41,500,91.8,121030,87916,0,1.442626
openai,gpt-5.2,medium,2.1,478,22,500,95.6,121030,85972,0,1.415411
openai,gpt-5.2,medium,2.2,463,37,500,92.6,121030,87918,0,1.442655
openai,gpt-5.2,medium,2.3,478,22,500,95.6,121030,86700,0,1.425602
openai,gpt-5.2,medium,2.4,473,27,500,94.6,121030,86236,0,1.419106
openai,gpt-5.2,medium,2.5,481,19,500,96.2,121030,87333,0,1.434465
openai,gpt-5.2,medium,2.6,484,16,500,96.8,121030,84648,0,1.396875
openai,gpt-5.2,medium,2.7,477,23,500,95.4,121030,86097,0,1.417161
openai,gpt-5.2,medium,2.8,480,20,500,96.0,121030,85877,0,1.41408
openai,gpt-5.2,medium,2.9,481,19,500,96.2,121030,85223,0,1.404924
openai,gpt-5.2,medium,3.0,482,18,500,96.4,121030,84159,0,1.390029
openai,gpt-5.2,medium,3.1,485,15,500,97.0,121030,85506,0,1.408886
openai,gpt-5.2,medium,3.2,485,15,500,97.0,121030,85115,0,1.403413
openai,gpt-5.2,medium,3.3,486,14,500,97.2,121030,83716,0,1.383827
openai,gpt-5.2,medium,3.4,489,11,500,97.8,121030,82877,0,1.37208
openai,gpt-5.2,medium,3.5,485,15,500,97.0,121030,83514,0,1.380999
openai,gpt-5.2,medium,4.0,481,19,500,96.2,121030,82236,0,1.363107
openai,gpt-5.2,medium,5.0,487,13,500,97.4,121030,78622,0,1.31251
openai,gpt-5.2,medium,6.0,486,14,500,97.2,121030,80066,0,1.332726
openai,gpt-5.2,medium,7.0,491,9,500,98.2,121030,76834,0,1.287478
