provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,gpt-5.2,off,0,1,499,500,0.2,121030,43872,0,0.826011
openai,gpt-5.2,off,0.1,437,63,500,87.4,121030,43222,0,0.816911
openai,gpt-5.2,off,0.2,480,20,500,96.0,121030,42824,0,0.811339
openai,gpt-5.2,off,0.3,494,6,500,98.8,121030,42605,0,0.808273
openai,gpt-5.2,off,0.4,497,3,500,99.4,121030,42673,0,0.809224
openai,gpt-5.2,off,0.5,494,6,500,98.8,121030,42300,0,0.804003
openai,gpt-5.2,off,0.6,499,1,500,99.8,121030,41989,0,0.799648
openai,gpt-5.2,off,0.7,497,3,500,99.4,121030,42618,0,0.808455
openai,gpt-5.2,off,0.8,499,1,500,99.8,121030,41935,0,0.798893
openai,gpt-5.2,off,0.9,496,4,500,99.2,121030,42511,0,0.806957
openai,gpt-5.2,off,1.0,499,1,500,99.8,121030,42350,0,0.804703
openai,gpt-5.2,off,1.1,500,0,500,100.0,121030,43293,0,0.817905
openai,gpt-5.2,off,1.2,500,0,500,100.0,121030,42863,0,0.811885
openai,gpt-5.2,off,1.3,500,0,500,100.0,121030,42987,0,0.813621
openai,gpt-5.2,off,1.4,500,0,500,100.0,121030,43886,0,0.826206
openai,gpt-5.2,off,1.5,500,0,500,100.0,121030,42808,0,0.811115
openai,gpt-5.2,off,1.6,499,1,500,99.8,121030,43379,0,0.819108
openai,gpt-5.2,off,1.7,499,1,500,99.8,121030,43129,0,0.815608
openai,gpt-5.2,off,1.8,500,0,500,100.0,121030,43084,0,0.814978
openai,gpt-5.2,off,1.9,497,3,500,99.4,121030,43392,0,0.819291
openai,gpt-5.2,off,2.0,500,0,500,100.0,121030,42730,0,0.810023
openai,gpt-5.2,off,2.1,500,0,500,100.0,121030,42657,0,0.809001
openai,gpt-5.2,off,2.2,500,0,500,100.0,121030,42924,0,0.812739
openai,gpt-5.2,off,2.3,500,0,500,100.0,121030,42723,0,0.809924
openai,gpt-5.2,off,2.4,500,0,500,100.0,121030,42764,0,0.810499
openai,gpt-5.2,off,2.5,500,0,500,100.0,121030,42512,0,0.806971
openai,gpt-5.2,off,2.6,500,0,500,100.0,121030,42569,0,0.807768
openai,gpt-5.2,off,2.7,500,0,500,100.0,121030,42615,0,0.808413
openai,gpt-5.2,off,2.8,500,0,500,100.0,121030,42789,0,0.810849
openai,gpt-5.2,off,2.9,500,0,500,100.0,121030,43173,0,0.816225
openai,gpt-5.2,off,3.0,500,0,500,100.0,121030,42929,0,0.812809
openai,gpt-5.2,off,3.1,500,0,500,100.0,121030,43042,0,0.81439
openai,gpt-5.2,off,3.2,500,0,500,100.0,121030,42628,0,0.808595
openai,gpt-5.2,off,3.3,500,0,500,100.0,121030,43381,0,0.819137
openai,gpt-5.2,off,3.4,500,0,500,100.0,121030,43132,0,0.81565
openai,gpt-5.2,off,3.5,500,0,500,100.0,121030,42584,0,0.807978
openai,gpt-5.2,off,4.0,500,0,500,100.0,121030,42889,0,0.812249
openai,gpt-5.2,off,5.0,500,0,500,100.0,121030,42294,0,0.803919
openai,gpt-5.2,off,6.0,500,0,500,100.0,121030,43372,0,0.81901
openai,gpt-5.2,off,7.0,500,0,500,100.0,121030,42888,0,0.812235
