provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,o3,required,0.0,8,492,500,1.6,121030,112202,0,1.139676
openai,o3,required,0.1,44,456,500,8.8,121030,197194,0,1.819612
openai,o3,required,0.2,57,443,500,11.4,121030,208604,0,1.910892
openai,o3,required,0.3,87,413,500,17.4,121030,217338,0,1.980764
openai,o3,required,0.4,130,370,500,26.0,121030,229793,0,2.080404
openai,o3,required,0.5,199,301,500,39.8,121030,223343,0,2.028804
openai,o3,required,0.6,178,322,500,35.6,121030,231927,0,2.097476
openai,o3,required,0.7,210,290,500,42.0,121030,241680,0,2.1755
openai,o3,required,0.8,212,288,500,42.4,121030,238296,0,2.148428
openai,o3,required,0.9,229,271,500,45.8,121030,242063,0,2.178564
openai,o3,required,1.0,262,238,500,52.4,121030,221829,0,2.016692
openai,o3,required,1.1,279,221,500,55.8,121030,239607,0,2.158916
openai,o3,required,1.2,284,216,500,56.8,121030,231057,0,2.090516
openai,o3,required,1.3,305,195,500,61.0,121030,243499,0,2.190052
openai,o3,required,1.4,295,205,500,59.0,121030,228369,0,2.069012
openai,o3,required,1.5,316,184,500,63.2,121030,225314,0,2.044572
openai,o3,required,1.6,307,193,500,61.4,121030,239465,0,2.15778
openai,o3,required,1.7,330,170,500,66.0,121030,232714,0,2.103772
openai,o3,required,1.8,298,202,500,59.6,121030,232352,0,2.100876
openai,o3,required,1.9,300,200,500,60.0,121030,229012,0,2.074156
openai,o3,required,2.0,323,177,500,64.6,121030,220095,0,2.00282
openai,o3,required,2.1,336,164,500,67.2,121030,229073,0,2.074644
openai,o3,required,2.2,355,145,500,71.0,121030,236626,0,2.135068
openai,o3,required,2.3,353,147,500,70.6,121030,225069,0,2.042612
openai,o3,required,2.4,333,167,500,66.6,121030,232028,0,2.098284
openai,o3,required,2.5,372,128,500,74.4,121030,226253,0,2.052084
openai,o3,required,2.6,343,157,500,68.6,121030,227335,0,2.06074
openai,o3,required,2.7,365,135,500,73.0,121030,226309,0,2.052532
openai,o3,required,2.8,364,136,500,72.8,121030,222756,0,2.024108
openai,o3,required,2.9,347,153,500,69.4,121030,222043,0,2.018404
openai,o3,required,3.0,331,169,500,66.2,121030,209952,0,1.921676
openai,o3,required,3.1,362,138,500,72.4,121030,227357,0,2.060916
openai,o3,required,3.2,356,144,500,71.2,121030,223341,0,2.028788
openai,o3,required,3.3,354,146,500,70.8,121030,223712,0,2.031756
openai,o3,required,3.4,364,136,500,72.8,121030,222105,0,2.0189
openai,o3,required,3.5,356,144,500,71.2,121030,216926,0,1.977468
openai,o3,required,4.0,373,127,500,74.6,121030,204854,0,1.880892
openai,o3,required,5.0,380,120,500,76.0,121030,205695,0,1.88762
openai,o3,required,6.0,387,113,500,77.4,121030,203347,0,1.868836
openai,o3,required,7.0,388,112,500,77.6,121030,204721,0,1.879828
